Time(s)	CH1	CH2	CH3	CH4
0.000000000e+00	0.031250	0.031250	0.031250	0.031250
4.000000000e-07	0.031250	0.031250	0.031250	0.031250
8.000000000e-07	0.031250	0.062500	0.031250	0.031250
1.200000000e-06	0.031250	0.062500	0.031250	0.031250
1.600000000e-06	0.031250	0.062500	0.031250	0.031250
2.000000000e-06	0.031250	0.062500	0.031250	0.031250
2.400000000e-06	0.031250	0.062500	0.031250	0.031250
2.800000000e-06	0.031250	0.062500	0.031250	0.031250
3.200000000e-06	0.031250	0.062500	0.031250	0.031250
3.600000000e-06	0.031250	0.062500	0.031250	0.031250
4.000000000e-06	0.031250	0.031250	0.031250	0.031250
4.400000000e-06	0.031250	0.062500	0.031250	0.031250
4.800000000e-06	0.031250	0.062500	0.031250	0.031250
5.200000000e-06	0.031250	0.062500	0.031250	0.031250
5.600000000e-06	0.031250	0.062500	0.031250	0.031250
6.000000000e-06	0.031250	0.062500	0.031250	0.031250
6.400000000e-06	0.031250	0.062500	0.031250	0.031250
6.800000000e-06	0.031250	0.062500	0.031250	0.031250
7.200000000e-06	0.031250	0.062500	0.031250	0.031250
7.600000000e-06	0.031250	0.062500	0.031250	0.031250
8.000000000e-06	0.031250	0.062500	0.031250	0.031250
8.400000000e-06	0.031250	0.031250	0.031250	0.031250
8.800000000e-06	0.031250	0.062500	0.031250	0.031250
9.200000000e-06	0.031250	0.062500	0.031250	0.031250
9.600000000e-06	0.031250	0.031250	0.031250	0.031250
1.000000000e-05	0.031250	0.031250	0.031250	0.031250
1.040000000e-05	0.031250	0.062500	0.031250	0.031250
1.080000000e-05	0.031250	0.062500	0.031250	0.031250
1.120000000e-05	0.031250	0.062500	0.031250	0.031250
1.160000000e-05	0.031250	0.062500	0.031250	0.031250
1.200000000e-05	0.031250	0.062500	0.031250	0.031250
1.240000000e-05	0.031250	0.062500	0.031250	0.031250
1.280000000e-05	0.031250	0.062500	0.031250	0.031250
1.320000000e-05	0.031250	0.062500	0.031250	0.031250
1.360000000e-05	0.031250	0.062500	0.031250	0.031250
1.400000000e-05	0.031250	0.062500	0.031250	0.031250
1.440000000e-05	0.031250	0.062500	0.031250	0.031250
1.480000000e-05	0.031250	0.062500	0.031250	0.031250
1.520000000e-05	0.031250	0.062500	0.031250	0.031250
1.560000000e-05	0.031250	0.062500	0.031250	0.031250
1.600000000e-05	0.031250	0.062500	0.031250	0.031250
1.640000000e-05	0.031250	0.062500	0.031250	0.031250
1.680000000e-05	0.031250	0.062500	0.031250	0.031250
1.720000000e-05	0.031250	0.062500	0.031250	0.031250
1.760000000e-05	0.031250	0.062500	0.031250	0.031250
1.800000000e-05	0.031250	0.062500	0.031250	0.031250
1.840000000e-05	0.031250	0.031250	0.031250	0.031250
1.880000000e-05	0.031250	0.062500	0.031250	0.031250
1.920000000e-05	0.031250	0.062500	0.031250	0.031250
1.960000000e-05	0.031250	0.062500	0.031250	0.031250
2.000000000e-05	0.031250	0.062500	0.031250	0.031250
2.040000000e-05	0.031250	0.062500	0.031250	0.031250
2.080000000e-05	0.031250	0.062500	0.031250	0.031250
2.120000000e-05	0.031250	0.062500	0.031250	0.031250
